,value
drawdowns.depth_pct,"{0: -2.8859, 1: -1.9011, 2: -1.3813, 3: -1.3666, 4: -1.2085}"
drawdowns.duration_days,"{0: 100, 1: 15, 2: 125, 3: 21, 4: 21}"
drawdowns.recovery_days,"{0: 5, 1: 31, 2: 6, 3: 6, 4: 15}"
drawdowns.avg_leverage,"{0: 0.1033, 1: 0.0881, 2: 0.1233, 3: 0.1172, 4: 0.1842}"
drawdowns.avg_exposure,"{0: 1148548.41, 1: 204958.1148, 2: 710569.2934, 3: 1074695.2319, 4: 161415.1576}"
drawdowns.vol_regime,"{0: 'HIGH', 1: 'EXTREME', 2: 'NORMAL', 3: 'EXTREME', 4: 'NORMAL'}"
drawdowns.trend_regime,"{0: 'DOWNTREND', 1: 'DOWNTREND', 2: 'DOWNTREND', 3: 'STRONG_UPTREND', 4: 'STRONG_UPTREND'}"
drawdowns.avg_forecast_error,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}"
validation.Leverage,100
validation.Risk Budget,100
validation.Exposure,90
validation.Concentration,100
validation.Forecasting,100
validation.Regime,90
validation.Overall,96
