,value
regime_trend.sortino,"{'DOWNTREND': 3.6988, 'RANGE_BOUND': 74.0893, 'STRONG_DOWNTREND': 7.5745, 'STRONG_UPTREND': 254.2773, 'UPTREND': 226.7335}"
regime_trend.cagr,"{'DOWNTREND': 0.107855, 'RANGE_BOUND': 2.395599, 'STRONG_DOWNTREND': 0.1856, 'STRONG_UPTREND': 8.024111, 'UPTREND': 22.340146}"
regime_trend.max_drawdown,"{'DOWNTREND': -0.0812, 'RANGE_BOUND': -0.0154, 'STRONG_DOWNTREND': -0.0063, 'STRONG_UPTREND': -0.0077, 'UPTREND': -0.0198}"
regime_trend.win_rate,"{'DOWNTREND': 0.3793, 'RANGE_BOUND': 0.2838, 'STRONG_DOWNTREND': 0.6111, 'STRONG_UPTREND': 0.3673, 'UPTREND': 0.3705}"
regime_trend.avg_return,"{'DOWNTREND': 0.000476, 'RANGE_BOUND': 0.005457, 'STRONG_DOWNTREND': 0.000679, 'STRONG_UPTREND': 0.009769, 'UPTREND': 0.014192}"
regime_trend.total_return,"{'DOWNTREND': 0.151937, 'RANGE_BOUND': 2.037104, 'STRONG_DOWNTREND': 0.012235, 'STRONG_UPTREND': 0.533815, 'UPTREND': 44.273038}"
regime_trend.contribution,"{'DOWNTREND': 0.165626, 'RANGE_BOUND': 1.249692, 'STRONG_DOWNTREND': 0.012221, 'STRONG_UPTREND': 0.478685, 'UPTREND': 4.328521}"
forecast.mae,"{'ewma_vol': 0.073158, 'garch_vol': 0.091796, 'hist_vol': 0.0, 'ensemble_vol': 0.080903}"
forecast.rmse,"{'ewma_vol': 0.090191, 'garch_vol': 0.111999, 'hist_vol': 0.0, 'ensemble_vol': 0.100747}"
forecast.mape,"{'ewma_vol': 52.82, 'garch_vol': 64.09, 'hist_vol': 0.0, 'ensemble_vol': 57.8}"
forecast.bias,"{'ewma_vol': 0.065687, 'garch_vol': 0.090757, 'hist_vol': 0.0, 'ensemble_vol': 0.078222}"
forecast.correlation,"{'ewma_vol': 0.8371, 'garch_vol': 0.8371, 'hist_vol': 1.0, 'ensemble_vol': 0.8371}"
forecast.n_obs,"{'ewma_vol': 46, 'garch_vol': 46, 'hist_vol': 929, 'ensemble_vol': 46}"
attribution.Alpha,3.124705
attribution.Leverage,0.0
attribution.Vol Targeting,0.0
attribution.Regime Filter,0.0
attribution.Residual,241.788787
attribution.Total,244.913492
drawdowns.start,"{0: Timestamp('2019-07-29 00:00:00'), 1: Timestamp('2019-12-05 00:00:00'), 2: Timestamp('2021-05-10 00:00:00'), 3: Timestamp('2020-01-27 00:00:00'), 4: Timestamp('2020-09-03 00:00:00')}"
drawdowns.trough,"{0: Timestamp('2019-10-02 00:00:00'), 1: Timestamp('2019-12-20 00:00:00'), 2: Timestamp('2021-08-18 00:00:00'), 3: Timestamp('2020-03-27 00:00:00'), 4: Timestamp('2021-01-06 00:00:00')}"
drawdowns.end,"{0: Timestamp('2019-10-10 00:00:00'), 1: Timestamp('2020-01-20 00:00:00'), 2: Timestamp('2021-08-23 00:00:00'), 3: Timestamp('2020-06-05 00:00:00'), 4: Timestamp('2021-01-12 00:00:00')}"
drawdowns.depth_pct,"{0: -4.5739, 1: -2.918, 2: -2.886, 3: -1.6699, 4: -1.3814}"
drawdowns.duration_days,"{0: 65, 1: 15, 2: 100, 3: 60, 4: 125}"
drawdowns.recovery_days,"{0: 8, 1: 31, 2: 5, 3: 70, 4: 6}"
drawdowns.avg_leverage,"{0: 0.1275, 1: 0.129, 2: 0.1033, 3: 0.1049, 4: 0.1233}"
drawdowns.avg_exposure,"{0: 347012.765, 1: 556947.4328, 2: 2052041.0329, 3: 551542.4891, 4: 1269535.3059}"
drawdowns.vol_regime,"{0: 'HIGH', 1: 'EXTREME', 2: 'HIGH', 3: 'NORMAL', 4: 'NORMAL'}"
drawdowns.trend_regime,"{0: 'DOWNTREND', 1: 'DOWNTREND', 2: 'DOWNTREND', 3: 'DOWNTREND', 4: 'DOWNTREND'}"
drawdowns.avg_forecast_error,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}"
validation.Leverage,100
validation.Risk Budget,100
validation.Exposure,90
validation.Concentration,100
validation.Forecasting,100
validation.Regime,90
validation.Overall,96
